sample_id,doc_id,page_num,pred_page_num,element_id,label,omni_label,eval_label,bbox_raw,bbox,polygon,text,latex,html,reading_order,confidence,source_json,source_filename,page_width_pt,page_height_pt,page_width_px,page_height_px
docstructbench_enbook-zlib-o.O-19221575.pdf_1173,docstructbench_enbook-zlib-o.O-19221575.pdf_1173,1,1,p0001_b0001,paragraph,text_block,text,"[270.36, 20.88, 285.47999999999996, 29.88]","[751.0, 57.99999999999999, 792.9999999999999, 83.0]",,977,,,1,,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\smoke_tests\docstructbench_enbook-zlib-o.O-19221575.pdf_1173\paddle_vl_gpu\document.json,docstructbench_enbook-zlib-o.O-19221575.pdf_1173.pdf,315.0,531.0,875,1475
docstructbench_enbook-zlib-o.O-19221575.pdf_1173,docstructbench_enbook-zlib-o.O-19221575.pdf_1173,1,1,p0001_b0006,heading,title,title,"[30.959999999999997, 169.56, 144.72, 190.08]","[85.99999999999999, 471.0, 402.0, 528.0]",,"ADMINISTRATION/HANDLING
PO",,,6,,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\smoke_tests\docstructbench_enbook-zlib-o.O-19221575.pdf_1173\paddle_vl_gpu\document.json,docstructbench_enbook-zlib-o.O-19221575.pdf_1173.pdf,315.0,531.0,875,1475
docstructbench_enbook-zlib-o.O-19221575.pdf_1173,docstructbench_enbook-zlib-o.O-19221575.pdf_1173,1,1,p0001_b0010,heading,title,title,"[31.319999999999997, 360.71999999999997, 75.6, 369.36]","[86.99999999999999, 1001.9999999999999, 209.99999999999997, 1026.0]",,Schizophrenia,,,10,,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\smoke_tests\docstructbench_enbook-zlib-o.O-19221575.pdf_1173\paddle_vl_gpu\document.json,docstructbench_enbook-zlib-o.O-19221575.pdf_1173.pdf,315.0,531.0,875,1475
docstructbench_enbook-zlib-o.O-19221575.pdf_1173,docstructbench_enbook-zlib-o.O-19221575.pdf_1173,1,1,p0001_b0013,heading,title,title,"[163.07999999999998, 162.72, 240.84, 171.36]","[452.99999999999994, 452.0, 669.0, 476.0]",,Mania in Bipolar Disorder,,,13,,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\smoke_tests\docstructbench_enbook-zlib-o.O-19221575.pdf_1173\paddle_vl_gpu\document.json,docstructbench_enbook-zlib-o.O-19221575.pdf_1173.pdf,315.0,531.0,875,1475
docstructbench_enbook-zlib-o.O-19221575.pdf_1173,docstructbench_enbook-zlib-o.O-19221575.pdf_1173,1,1,p0001_b0015,heading,title,title,"[163.07999999999998, 367.91999999999996, 254.88, 376.92]","[452.99999999999994, 1021.9999999999999, 708.0, 1047.0]",,Depression in Bipolar Disorder,,,15,,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\smoke_tests\docstructbench_enbook-zlib-o.O-19221575.pdf_1173\paddle_vl_gpu\document.json,docstructbench_enbook-zlib-o.O-19221575.pdf_1173.pdf,315.0,531.0,875,1475
docstructbench_enbook-zlib-o.O-19221575.pdf_1173,docstructbench_enbook-zlib-o.O-19221575.pdf_1173,1,1,p0001_b0017,heading,title,title,"[163.07999999999998, 455.40000000000003, 244.8, 464.4]","[452.99999999999994, 1265.0, 680.0, 1290.0]",,Adjunctive Therapy in MDD,,,17,,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\smoke_tests\docstructbench_enbook-zlib-o.O-19221575.pdf_1173\paddle_vl_gpu\document.json,docstructbench_enbook-zlib-o.O-19221575.pdf_1173.pdf,315.0,531.0,875,1475
docstructbench_enbook-zlib-o.O-22206811.pdf_5,docstructbench_enbook-zlib-o.O-22206811.pdf_5,1,1,p0001_b0000,heading,title,title,"[40.68000016679499, 46.799998778774984, 167.7600006878448, 62.639998365437286]","[113.0, 130.0, 466.0, 174.0]",,[PDF] No Safe Place,,,0,,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\smoke_tests\docstructbench_enbook-zlib-o.O-22206811.pdf_5\paddle_vl_gpu\document.json,docstructbench_enbook-zlib-o.O-22206811.pdf_5.pdf,595.4400024414062,842.0399780273438,1654,2339
docstructbench_enbook-zlib-o.O-22206811.pdf_5,docstructbench_enbook-zlib-o.O-22206811.pdf_5,1,1,p0001_b0003,heading,title,title,"[40.32000016531892, 182.8799952278284, 289.08000118527764, 199.07999480509665]","[111.99999999999999, 508.0, 803.0, 552.9999999999999]",,[PDF] Portrait of an Unknown Woman,,,3,,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\smoke_tests\docstructbench_enbook-zlib-o.O-22206811.pdf_5\paddle_vl_gpu\document.json,docstructbench_enbook-zlib-o.O-22206811.pdf_5.pdf,595.4400024414062,842.0399780273438,1654,2339
docstructbench_enbook-zlib-o.O-22206811.pdf_5,docstructbench_enbook-zlib-o.O-22206811.pdf_5,1,1,p0001_b0006,heading,title,title,"[41.04000016827105, 318.23999169566986, 167.04000068489268, 334.43999127293813]","[114.0, 883.9999999999999, 463.99999999999994, 928.9999999999999]",,[PDF] The 6:20 Man,,,6,,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\smoke_tests\docstructbench_enbook-zlib-o.O-22206811.pdf_5\paddle_vl_gpu\document.json,docstructbench_enbook-zlib-o.O-22206811.pdf_5.pdf,595.4400024414062,842.0399780273438,1654,2339
docstructbench_enbook-zlib-o.O-22206811.pdf_5,docstructbench_enbook-zlib-o.O-22206811.pdf_5,1,1,p0001_b0009,heading,title,title,"[40.68000016679499, 454.3199881447233, 177.84000072917453, 470.87998771259754]","[113.0, 1262.0, 493.99999999999994, 1308.0]",,[PDF] It Ends with Us,,,9,,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\smoke_tests\docstructbench_enbook-zlib-o.O-22206811.pdf_5\paddle_vl_gpu\document.json,docstructbench_enbook-zlib-o.O-22206811.pdf_5.pdf,595.4400024414062,842.0399780273438,1654,2339
docstructbench_enbook-zlib-o.O-22206811.pdf_5,docstructbench_enbook-zlib-o.O-22206811.pdf_5,1,1,p0001_b0012,heading,title,title,"[41.40000016974711, 590.0399846031708, 161.2800006612757, 606.9599841616509]","[115.0, 1638.9999999999998, 447.99999999999994, 1685.9999999999998]",,[PDF] Thunder Bay,,,12,,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\smoke_tests\docstructbench_enbook-zlib-o.O-22206811.pdf_5\paddle_vl_gpu\document.json,docstructbench_enbook-zlib-o.O-22206811.pdf_5.pdf,595.4400024414062,842.0399780273438,1654,2339
docstructbench_llm-raw-scihub-o.O-j.msec.2005.03.002.pdf_7,docstructbench_llm-raw-scihub-o.O-j.msec.2005.03.002.pdf_7,1,1,p0001_b0001,paragraph,text_block,text,"[531.3600152598967, 47.51999839305445, 545.7600156734442, 55.43999812523019]","[1475.9999999999998, 131.99999999999997, 1516.0, 153.99999999999997]",,515,,,1,,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\smoke_tests\docstructbench_llm-raw-scihub-o.O-j.msec.2005.03.002.pdf_7\paddle_vl_gpu\document.json,docstructbench_llm-raw-scihub-o.O-j.msec.2005.03.002.pdf_7.pdf,595.0800170898438,794.1599731445312,1653,2206
docstructbench_llm-raw-scihub-o.O-s0167-8655_2801_2900019-8.pdf_10,docstructbench_llm-raw-scihub-o.O-s0167-8655_2801_2900019-8.pdf_10,1,1,p0001_b0000,paragraph,text_block,text,"[41.04000055222284, 73.7999978176383, 56.16000075567336, 83.51999753020532]","[113.99999999999999, 204.99999999999997, 155.99999999999997, 232.00000000000003]",,808,,,0,,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\smoke_tests\docstructbench_llm-raw-scihub-o.O-s0167-8655_2801_2900019-8.pdf_10\paddle_vl_gpu\document.json,docstructbench_llm-raw-scihub-o.O-s0167-8655_2801_2900019-8.pdf_10.pdf,544.3200073242188,743.0399780273438,1512,2064
docstructbench_llm-raw-scihub-o.O-s0167-8655_2801_2900019-8.pdf_10,docstructbench_llm-raw-scihub-o.O-s0167-8655_2801_2900019-8.pdf_10,1,1,p0001_b0006,paragraph,text_block,text,"[40.68000054737878, 488.8799855431845, 258.8400034828791, 511.91998486186185]","[112.99999999999999, 1358.0, 718.9999999999999, 1422.0]",,1. Before feature selection (the set of all available attributes),,,6,,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\smoke_tests\docstructbench_llm-raw-scihub-o.O-s0167-8655_2801_2900019-8.pdf_10\paddle_vl_gpu\document.json,docstructbench_llm-raw-scihub-o.O-s0167-8655_2801_2900019-8.pdf_10.pdf,544.3200073242188,743.0399780273438,1512,2064
