sample_id,doc_id,page_num,omni_page_no,gt_id,label,eval_label,bbox,polygon,text,latex,html,reading_order,width,height,coordinate_space,attributes
docstructbench_enbook-zlib-o.O-19221575.pdf_1173,docstructbench_enbook-zlib-o.O-19221575.pdf_1173,1,1173,13,title,title,"[87.7205, 469.31550000000004, 399.354375, 499.31109999999995]","[87.7205, 469.31550000000004, 399.354375, 469.31550000000004, 399.354375, 499.31109999999995, 87.7205, 499.31109999999995]",ADMINISTRATION/HANDLING,,,5.0,875,1475,image_pixels,"{'text_language': 'text_english', 'text_background': 'white', 'text_rotate': 'normal'}"
docstructbench_enbook-zlib-o.O-19221575.pdf_1173,docstructbench_enbook-zlib-o.O-19221575.pdf_1173,1,1173,21,text_block,text,"[87.266375, 507.492925, 116.794125, 530.671075]","[87.266375, 507.492925, 116.794125, 507.492925, 116.794125, 530.671075, 87.266375, 530.671075]",PO,,,6.0,875,1475,image_pixels,"{'text_language': 'text_english', 'text_background': 'white', 'text_rotate': 'normal'}"
docstructbench_enbook-zlib-o.O-19221575.pdf_1173,docstructbench_enbook-zlib-o.O-19221575.pdf_1173,1,1173,4,text_block,text,"[86.80612500000001, 1000.821425, 205.074625, 1024.598425]","[86.80612500000001, 1000.821425, 205.074625, 1000.821425, 205.074625, 1024.598425, 86.80612500000001, 1024.598425]",Schizophrenia,,,10.0,875,1475,image_pixels,"{'text_language': 'text_english', 'text_background': 'white', 'text_rotate': 'normal'}"
docstructbench_enbook-zlib-o.O-19221575.pdf_1173,docstructbench_enbook-zlib-o.O-19221575.pdf_1173,1,1173,14,text_block,text,"[454.70337500000005, 452.174525, 665.189875, 474.001575]","[454.70337500000005, 452.174525, 665.189875, 452.174525, 665.189875, 474.001575, 454.70337500000005, 474.001575]",Mania in Bipolar Disorder,,,13.0,875,1475,image_pixels,"{'text_language': 'text_english', 'text_background': 'white', 'text_rotate': 'normal'}"
docstructbench_enbook-zlib-o.O-19221575.pdf_1173,docstructbench_enbook-zlib-o.O-19221575.pdf_1173,1,1173,25,text_block,text,"[456.36169918820013, 1023.6114173249009, 703.7148313948167, 1044.6364335624635]","[456.36169918820013, 1023.6114173249009, 703.7148313948167, 1023.6114173249009, 703.7148313948167, 1044.6364335624635, 456.36169918820013, 1044.6364335624635]",Depression in Bipolar Disorder,,,15.0,875,1475,image_pixels,"{'text_language': 'text_english', 'text_background': 'white', 'text_rotate': 'normal'}"
docstructbench_enbook-zlib-o.O-19221575.pdf_1173,docstructbench_enbook-zlib-o.O-19221575.pdf_1173,1,1173,2,text_block,text,"[452.30325, 1265.8037000000002, 677.607875, 1288.449375]","[452.30325, 1265.8037000000002, 677.607875, 1265.8037000000002, 677.607875, 1288.449375, 452.30325, 1288.449375]",Adjunctive Therapy in MDD,,,17.0,875,1475,image_pixels,"{'text_language': 'text_english', 'text_background': 'white', 'text_rotate': 'normal'}"
docstructbench_enbook-zlib-o.O-22206811.pdf_5,docstructbench_enbook-zlib-o.O-22206811.pdf_5,1,5,2,figure_caption,caption,"[118.110486, 129.124495, 460.293314, 173.198272]","[118.110486, 129.124495, 460.293314, 129.124495, 460.293314, 173.198272, 118.110486, 173.198272]",[PDF] No Safe Place,,,1.0,1654,2339,image_pixels,"{'text_language': 'text_english', 'text_background': 'white', 'text_rotate': 'normal'}"
docstructbench_enbook-zlib-o.O-22206811.pdf_5,docstructbench_enbook-zlib-o.O-22206811.pdf_5,1,5,0,figure_caption,caption,"[118.110486, 506.81452, 799.3318879999999, 550.8882970000001]","[118.110486, 506.81452, 799.3318879999999, 506.81452, 799.3318879999999, 550.8882970000001, 118.110486, 550.8882970000001]",[PDF] Portrait of an Unknown Woman,,,4.0,1654,2339,image_pixels,"{'text_language': 'text_english', 'text_background': 'white', 'text_rotate': 'normal'}"
docstructbench_enbook-zlib-o.O-22206811.pdf_5,docstructbench_enbook-zlib-o.O-22206811.pdf_5,1,5,1,figure_caption,caption,"[118.110486, 884.506884, 460.369398, 928.580661]","[118.110486, 884.506884, 460.369398, 884.506884, 460.369398, 928.580661, 118.110486, 928.580661]",[PDF] The 6:20 Man,,,7.0,1654,2339,image_pixels,"{'text_language': 'text_english', 'text_background': 'white', 'text_rotate': 'normal'}"
docstructbench_enbook-zlib-o.O-22206811.pdf_5,docstructbench_enbook-zlib-o.O-22206811.pdf_5,1,5,12,figure_caption,caption,"[118.110486, 1262.19457, 489.02164, 1306.268347]","[118.110486, 1262.19457, 489.02164, 1262.19457, 489.02164, 1306.268347, 118.110486, 1306.268347]",[PDF] It Ends with Us,,,10.0,1654,2339,image_pixels,"{'text_language': 'text_english', 'text_background': 'white', 'text_rotate': 'normal'}"
docstructbench_enbook-zlib-o.O-22206811.pdf_5,docstructbench_enbook-zlib-o.O-22206811.pdf_5,1,5,5,figure_caption,caption,"[118.110486, 1639.884595, 442.393726, 1683.958372]","[118.110486, 1639.884595, 442.393726, 1639.884595, 442.393726, 1683.958372, 118.110486, 1683.958372]",[PDF] Thunder Bay,,,13.0,1654,2339,image_pixels,"{'text_language': 'text_english', 'text_background': 'white', 'text_rotate': 'normal'}"
docstructbench_llm-raw-scihub-o.O-s0167-8655_2801_2900019-8.pdf_10,docstructbench_llm-raw-scihub-o.O-s0167-8655_2801_2900019-8.pdf_10,1,296,13,text_block,text,"[112.8073203386867, 1344.286064631526, 740.1595260538332, 1854.9320486676554]","[112.8073203386867, 1344.286064631526, 740.1595260538332, 1344.286064631526, 740.1595260538332, 1854.9320486676554, 112.8073203386867, 1854.9320486676554]","1. Before feature selection (the set of all available attributes)
2. After IFN (the subset of features selected by the information-theoretic algorithm)
3. After Relief (the subset of features selected by Relief). As suggested by Kira and Rendel (1992), the distinction between relevant and irrelevant features was performed manually, based on the relevance levels computed by Relief.
4. After ABB (the subset of features selected by ABB). Though ABB required discretization of every continuous feature, C4.5 was always trained on the original (continuous) values of the selected continuous features.",,,5.0,1512,2064,image_pixels,"{'text_language': 'text_english', 'text_background': 'white', 'text_rotate': 'normal'}"
newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1,newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1,1,1,23,text_block,text,"[397.91188679090783, 238.98570120063408, 542.5337815510095, 259.38109661552016]","[397.91188679090783, 238.98570120063408, 542.5337815510095, 238.98570120063408, 542.5337815510095, 259.38109661552016, 397.91188679090783, 259.38109661552016]",17.11 Endangered and threatened wildlife.,,,14.0,612,792,image_pixels,"{'text_language': 'text_english', 'text_background': 'white', 'text_rotate': 'normal'}"
newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1,newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1,1,1,1,text_block,text,"[50.806958286510344, 412.30069372151655, 155.46081724969585, 422.4464522021272]","[50.806958286510344, 412.30069372151655, 155.46081724969585, 412.30069372151655, 155.46081724969585, 422.4464522021272, 50.806958286510344, 422.4464522021272]","Dated: Septemher 26, 2016.",,,16.0,612,792,image_pixels,"{'text_language': 'text_english', 'text_background': 'white', 'text_rotate': 'normal'}"
newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1,newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1,1,1,29,text_block,text,"[43.95078917655395, 422.8856768350615, 109.17614128922999, 432.9560993702727]","[43.95078917655395, 422.8856768350615, 109.17614128922999, 422.8856768350615, 109.17614128922999, 432.9560993702727, 43.95078917655395, 432.9560993702727]","Stephen Guertin,",,,17.0,612,792,image_pixels,"{'text_language': 'text_english', 'text_background': 'white', 'text_rotate': 'normal'}"
newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1,newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1,1,1,27,text_block,text,"[43.64093002162435, 434.8152542998502, 185.8662821343004, 452.32229655337136]","[43.64093002162435, 434.8152542998502, 185.8662821343004, 434.8152542998502, 185.8662821343004, 452.32229655337136, 43.64093002162435, 452.32229655337136]","Acting Director, U.S. Fish ana Wildlife Senvice.",,,18.0,612,792,image_pixels,"{'text_language': 'text_english', 'text_background': 'white', 'text_rotate': 'normal'}"
newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1,newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1,1,1,26,text_block,text,"[43.64093002162436, 454.33638106041354, 193.3029018526103, 464.09694444069515]","[43.64093002162436, 454.33638106041354, 193.3029018526103, 454.33638106041354, 193.3029018526103, 464.09694444069515, 43.64093002162436, 464.09694444069515]",[FR Doc. 2016-24138 Filed 10-5-16:6:45 am],,,19.0,612,792,image_pixels,"{'text_language': 'text_english', 'text_background': 'white', 'text_rotate': 'normal'}"
