sample_id,page_num,gt_id,pred_id,gt_label,pred_label,gt_eval_label,pred_eval_label,iou,gt_text,pred_text,gt_latex,pred_latex,gt_html,pred_html,gt_order,pred_order
docstructbench_enbook-zlib-o.O-19221575.pdf_1173,1,7,p0001_b0002,text_block,paragraph,text,text,0.9717874841536986,"Gotu kola. kava kava, St. John's wort, valerian may increase CNS depression. FOOD: None known. LAB VALUES: May decrease total free thyroxine ( $\mathrm{T}_{4}$ ) serum levels.May increase serum cholesterol, triglycerides, ALT, AST, WBC GGT.May produce false-positive pregnancy testre sult.","Gotu kola, kava kava, St. John's wort, valerian may increase CNS depression. FOOD: None known. LAB VALUES: May decrease total free thyroxine ( $ T_{4} $) serum levels. May increase serum cholesterol, triglycerides, ALT, AST, WBC, GGT. May produce false-positive pregnancy test result.",,,,,1.0,2
docstructbench_enbook-zlib-o.O-19221575.pdf_1173,1,16,p0001_b0004,text_block,paragraph,text,text,0.8962726216666165,"Tablets: 25 mg, 50 mg, 100 mg, 200 mg, 300mg, 400mg.","Tablets: 25 mg, 50 mg, 100 mg, 200 mg, 300 mg, 400 mg.",,,,,3.0,4
docstructbench_enbook-zlib-o.O-19221575.pdf_1173,1,6,p0001_b0005,text_block,paragraph,text,text,0.8995250968545009,"Tablets, Extended-Release: 50 mg, 150 mg, 200 mg, 300 mg, 400 mg","Tablets, Extended-Release: 50 mg, 150 mg, 200 mg, 300 mg, 400 mg.",,,,,4.0,5
docstructbench_enbook-zlib-o.O-19221575.pdf_1173,1,17,p0001_b0007,text_block,paragraph,text,text,0.9674908278035385,"- Give immediate-release tablets without regard to food. - Do not break, crush, dissolve, or divide extended-release tablets. - Extended-release tablets should be given without regard to food or with a light meal in evening.","• Give immediate-release tablets without regard to food. • Do not break, crush, dissolve, or divide extended-release tablets. • Extended-release tablets should be given without regard to food or with a light meal in evening.",,,,,7.0,7
docstructbench_enbook-zlib-o.O-19221575.pdf_1173,1,8,p0001_b0009,text_block,paragraph,text,text,0.9679610720873375,"Note: - When restarting pts who have been off QUEtiapine for less than 1 wk, titration is not required and maintenance dose can be reinstituted. - When restarting pts who have been off QUEtiapine for longer than 1 wk, follow initial titration schedule. - When discontinuing, gradual tapering recommended to avoid withdrawal symptoms and minimize risk of relapse.","Note: • When restarting pts who have been off QUEtiapine for less than 1 wk, titration is not required and maintenance dose can be reinstituted. • When restarting pts who have been off QUEtiapine for longer than 1 wk, follow initial titration schedule. • When discontinuing, gradual tapering recommended to avoid withdrawal symptoms and minimize risk of relapse.",,,,,9.0,9
docstructbench_enbook-zlib-o.O-19221575.pdf_1173,1,19,p0001_b0011,text_block,paragraph,text,text,0.9752139262929252,"PO: (mmediate-Release):  ApuLTS ELDERLY: Initially, 25 mg twice daily then increase in 25-50-mg increments divided 2-3 times/day on the second and third days,up to 300-400 mg/day in 2-3 divided doses by the fourth day. Further adjustments of 25-50 mg twice daily may be made at intervals of 2 days or longer. Maintenance: 150-750 mg/ day (adults); 50-200 mg/day (elderly). (Extended-Release): Initially 300 mg/ day. May increase at intervals as short as 1 day up to 300 mg/day Range: 400-800 mg/ day. (Immediate-Release): CHILDREN","PO: (Immediate-Release): ADULTS, ELDERLY: Initially, 25 mg twice daily, then increase in 25–50 mg increments divided 2–3 times/day on the second and third days, up to 300–400 mg/day in 2–3 divided doses by the fourth day. Further adjustments of 25–50 mg twice daily may be made at intervals of 2 days or longer. Maintenance: 150–750 mg/day (adults); 50–200 mg/day (elderly). (Extended-Release): Initially, 300 mg/day. May increase at intervals as short as 1 day up to 300 mg/day. Range: 400–800 mg/day. (Immediate-Release): CHILDREN 13 YRS AND OLDER: Initially, 25 mg twice daily on day 1, 50 mg twice daily on day 2, then increase by 100 mg/day to target dose of 400 mg twice daily on day 5. May further increase to 800 mg/day in increments of 100 mg or less daily. Range: 400–800 mg/day. Maximum: 800 mg. Total dose in 3 divided doses. (Extended-Release): Initially, 50 mg once daily on day 1, 100 mg on day 2, until 400 mg once daily is reached on day 5. Range: 400–800 mg/day. Maximum: 800 mg/day.",,,,,11.0,11
docstructbench_enbook-zlib-o.O-19221575.pdf_1173,1,11,p0001_b0012,text_block,paragraph,text,text,0.9632377291805369,"13 YRS AND OLDER: Initially, 25 mg twice daily on day 1, 50 mg twice daily on day 2,then increase by 100 mg/day to target dose of 400 mg twice daily on day 5.May further increase to 800 mg day in increments of 100 mg or less daily. Range: 400-800 mg/day. Maximum: 800 mg . Total dose in 3 divided doses. (Extended-Release): Initially, 50 mg once daily on day 1, 100 mg on day 2,until 400 mg once daily is reached on day 5. Range: 400-800 mg/ day. Maximum: 800 mg/day.",,,,,,12.0,12
docstructbench_enbook-zlib-o.O-19221575.pdf_1173,1,1,p0001_b0014,text_block,paragraph,text,text,0.9741196206725546,"PO: (Immediate-Release): ADULTS, ELDERLY: Initially, 50 mg twice daily for 1 day. May increase in increments of 100 mg/day to 200 mg twice daily on day 4. May further increase in increments of 200 mg/day to 800 mg/day on day 6. Range: 400-800 mg/day (ExtendedRelease): Initially, 300 mg on day 1 in the evening; 600 mg on day 2 and adjust between 400-800 mg/day thereafter. (Immediate-Release): CHILDREN 10 YRS AND OLDER: 25 mg twice daily on day 1 50 mg twice daily on day 2, then increase by 100 mg/day until target dose of 400 400 mg/day reached on day 5.May increase up to 600 mg/day. Range: 400-600 mg/ day. (Extended-Release): 50 mg on day 1; 100 mg on day 2; further increases of 100 mg/day until 400 mg once daily is reached on day 4; Usual range 400-600 mg once daily.","PO: (Immediate-Release): ADULTS, ELDERLY: Initially, 50 mg twice daily for 1 day. May increase in increments of 100 mg/day to 200 mg twice daily on day 4. May further increase in increments of 200 mg/day to 800 mg/day on day 6. Range: 400–800 mg/day. (Extended-Release): Initially, 300 mg on day 1 in the evening; 600 mg on day 2 and adjust between 400–800 mg/day thereafter. (Immediate-Release): CHILDREN 10 YRS AND OLDER: 25 mg twice daily on day 1, 50 mg twice daily on day 2, then increase by 100 mg/day until target dose of 400 mg/day reached on day 5. May increase up to 600 mg/day. Range: 400–600 mg/day. (Extended-Release): 50 mg on day 1; 100 mg on day 2; further increases of 100 mg/day until 400 mg once daily is reached on day 4; Usual range: 400–600 mg once daily.",,,,,14.0,14
docstructbench_enbook-zlib-o.O-19221575.pdf_1173,1,9,p0001_b0016,text_block,paragraph,text,text,0.9763960927346207,"PO: (Immediate-Release):  ADULTS, ELDERLY: Initially, 50 mg/day on day 1, increase to 100 mg/day on day 2, then increase by 100 mg/day up to target dose of 300 mg/day. (Extended-Release): Initially, 50 mg on day 1 in the evening, 100 mg on day 2, 200 mg on day3, 300 mg onday 4 and thereafter.","PO: (Immediate-Release): ADULTS, ELDERLY: Initially, 50 mg/day on day 1, increase to 100 mg/day on day 2, then increase by 100 mg/day up to target dose of 300 mg/day. (Extended-Release): Initially, 50 mg on day 1 in the evening, 100 mg on day 2, 200 mg on day 3, 300 mg on day 4 and thereafter.",,,,,16.0,16
docstructbench_enbook-zlib-o.O-19221575.pdf_1173,1,15,p0001_b0018,text_block,paragraph,text,text,0.974397420973597,"PO: ADULTS, ELDERLY: (ExtendedRelease): Initially, 50 mg on days1 and 2; then 150 mg on days 3 and 4; then 150-300 mg/day thereafter.","PO: ADULTS, ELDERLY: (Extended-Release): Initially, 50 mg on days 1 and 2; then 150 mg on days 3 and 4; then 150–300 mg/day thereafter.",,,,,18.0,18
