sample_id,dataset_name,input_type,input_pdf_path,input_image_path,gt_annotation_path,page_num,omni_page_no,width,height,coordinate_space,language,data_source,layout,fuzzy_scan,pdf_source,hf_pdf_path,hf_image_path,notes
yanbaor2_ey-icl-harnessing-the-power-of-data.pdf_13,omnidocbench_v15_english,pdf,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\examples\pdfs\yanbaor2_ey-icl-harnessing-the-power-of-data.pdf_13.pdf,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\evaluation_data_omni\omnidocbench_v15_english\images\yanbaor2_ey-icl-harnessing-the-power-of-data.pdf_13.jpg,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\evaluation_data_omni\omnidocbench_v15_english\annotations\yanbaor2_ey-icl-harnessing-the-power-of-data.pdf_13.json,1,4714,2662,1500,image_pixels,english,magazine,double_column,,image_to_pdf_fallback,,yanbaor2_ey-icl-harnessing-the-power-of-data.pdf_13.jpg,
docstructbench_llm-raw-scihub-o.O-j.msec.2005.03.002.pdf_7,omnidocbench_v15_english,pdf,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\examples\pdfs\docstructbench_llm-raw-scihub-o.O-j.msec.2005.03.002.pdf_7.pdf,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\evaluation_data_omni\omnidocbench_v15_english\images\docstructbench_llm-raw-scihub-o.O-j.msec.2005.03.002.pdf_7.jpg,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\evaluation_data_omni\omnidocbench_v15_english\annotations\docstructbench_llm-raw-scihub-o.O-j.msec.2005.03.002.pdf_7.json,1,7,1653,2206,image_pixels,english,academic_literature,double_column,,image_to_pdf_fallback,,docstructbench_llm-raw-scihub-o.O-j.msec.2005.03.002.pdf_7.jpg,
docstructbench_enbook-zlib-o.O-22206811.pdf_5,omnidocbench_v15_english,pdf,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\examples\pdfs\docstructbench_enbook-zlib-o.O-22206811.pdf_5.pdf,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\evaluation_data_omni\omnidocbench_v15_english\images\docstructbench_enbook-zlib-o.O-22206811.pdf_5.jpg,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\evaluation_data_omni\omnidocbench_v15_english\annotations\docstructbench_enbook-zlib-o.O-22206811.pdf_5.json,1,5,1654,2339,image_pixels,english,magazine,single_column,,image_to_pdf_fallback,,docstructbench_enbook-zlib-o.O-22206811.pdf_5.jpg,
scihub_jee_2Ftoaa103.pdf_2,omnidocbench_v15_english,pdf,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\examples\pdfs\scihub_jee_2Ftoaa103.pdf_2.pdf,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\evaluation_data_omni\omnidocbench_v15_english\images\scihub_jee_2Ftoaa103.pdf_2.jpg,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\evaluation_data_omni\omnidocbench_v15_english\annotations\scihub_jee_2Ftoaa103.pdf_2.json,1,2915,1654,2174,image_pixels,english,academic_literature,1andmore_column,,image_to_pdf_fallback,,scihub_jee%2Ftoaa103.pdf_2.jpg,
newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1,omnidocbench_v15_english,pdf,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\examples\pdfs\newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1.pdf,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\evaluation_data_omni\omnidocbench_v15_english\images\newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1.jpg,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\evaluation_data_omni\omnidocbench_v15_english\annotations\newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1.json,1,1,612,792,image_pixels,english,newspaper,other_layout,,image_to_pdf_fallback,,newspaper_2a6b4fa088699701a6fa9ccecfb5c25d_1.jpg,
scihub_c2gc35284b.pdf_6,omnidocbench_v15_english,pdf,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\examples\pdfs\scihub_c2gc35284b.pdf_6.pdf,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\evaluation_data_omni\omnidocbench_v15_english\images\scihub_c2gc35284b.pdf_6.jpg,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\evaluation_data_omni\omnidocbench_v15_english\annotations\scihub_c2gc35284b.pdf_6.json,1,2798,1654,2166,image_pixels,english,academic_literature,1andmore_column,,image_to_pdf_fallback,,scihub_c2gc35284b.pdf_6.jpg,
docstructbench_enbook-zlib-o.O-19221575.pdf_1173,omnidocbench_v15_english,pdf,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\examples\pdfs\docstructbench_enbook-zlib-o.O-19221575.pdf_1173.pdf,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\evaluation_data_omni\omnidocbench_v15_english\images\docstructbench_enbook-zlib-o.O-19221575.pdf_1173.jpg,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\evaluation_data_omni\omnidocbench_v15_english\annotations\docstructbench_enbook-zlib-o.O-19221575.pdf_1173.json,1,1173,875,1475,image_pixels,english,book,double_column,,image_to_pdf_fallback,,docstructbench_enbook-zlib-o.O-19221575.pdf_1173.jpg,
docstructbench_llm-raw-the-eye-o.O-ST-169-R1-072694.pdf_76,omnidocbench_v15_english,pdf,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\examples\pdfs\docstructbench_llm-raw-the-eye-o.O-ST-169-R1-072694.pdf_76.pdf,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\evaluation_data_omni\omnidocbench_v15_english\images\docstructbench_llm-raw-the-eye-o.O-ST-169-R1-072694.pdf_76.jpg,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\evaluation_data_omni\omnidocbench_v15_english\annotations\docstructbench_llm-raw-the-eye-o.O-ST-169-R1-072694.pdf_76.json,1,76,1700,2200,image_pixels,english,book,single_column,,image_to_pdf_fallback,,docstructbench_llm-raw-the-eye-o.O-ST-169-R1-072694.pdf_76.jpg,
newspaper_baa51a22898f0d534a6c404ba8f12fb1_2,omnidocbench_v15_english,pdf,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\examples\pdfs\newspaper_baa51a22898f0d534a6c404ba8f12fb1_2.pdf,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\evaluation_data_omni\omnidocbench_v15_english\images\newspaper_baa51a22898f0d534a6c404ba8f12fb1_2.jpg,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\evaluation_data_omni\omnidocbench_v15_english\annotations\newspaper_baa51a22898f0d534a6c404ba8f12fb1_2.json,1,2,612,792,image_pixels,english,newspaper,three_column,,image_to_pdf_fallback,,newspaper_baa51a22898f0d534a6c404ba8f12fb1_2.jpg,
docstructbench_llm-raw-scihub-o.O-s0167-8655_2801_2900019-8.pdf_10,omnidocbench_v15_english,pdf,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\examples\pdfs\docstructbench_llm-raw-scihub-o.O-s0167-8655_2801_2900019-8.pdf_10.pdf,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\evaluation_data_omni\omnidocbench_v15_english\images\docstructbench_llm-raw-scihub-o.O-s0167-8655_2801_2900019-8.pdf_10.jpg,c:\Users\David Martirosyan\Documents\Projects\Agentic PDF Parser\evaluation_data_omni\omnidocbench_v15_english\annotations\docstructbench_llm-raw-scihub-o.O-s0167-8655_2801_2900019-8.pdf_10.json,1,296,1512,2064,image_pixels,english,academic_literature,1andmore_column,,image_to_pdf_fallback,,docstructbench_llm-raw-scihub-o.O-s0167-8655%2801%2900019-8.pdf_10.jpg,
